row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000174607,13.37625923,-7.168195116,1.397027206,-5.131034733,2.88E-07,2.14E-06,UGT8
ENSG00000072042,13.45267208,-7.165963722,1.353172326,-5.295677118,1.19E-07,9.51E-07,RDH11
ENSG00000092847,12.8467606,-7.10490939,1.326572412,-5.355839851,8.52E-08,6.97E-07,AGO1
ENSG00000087095,11.59550984,-6.956405289,1.365063705,-5.096029778,3.47E-07,2.55E-06,NLK
ENSG00000142864,11.51089037,-6.944765334,1.362935674,-5.095446152,3.48E-07,2.56E-06,SERBP1
ENSG00000144597,11.09903867,-6.894326371,1.350039,-5.106760895,3.28E-07,2.42E-06,EAF1
ENSG00000119537,10.95462862,-6.880796151,1.408506307,-4.88517241,1.03E-06,7.04E-06,KDSR
ENSG00000023516,10.87168176,-6.859961803,1.351438064,-5.076046017,3.85E-07,2.81E-06,AKAP11
ENSG00000197417,10.74018997,-6.847890831,1.355940281,-5.050289402,4.41E-07,3.16E-06,SHPK
ENSG00000186687,10.80879953,-6.845396044,1.381747216,-4.954159461,7.26E-07,5.05E-06,LYRM7
ENSG00000073050,8.766126823,-6.553068114,1.414673694,-4.632211755,3.62E-06,2.24E-05,XRCC1
ENSG00000055332,8.823535282,-6.550420691,1.450401187,-4.516281943,6.29E-06,3.75E-05,EIF2AK2
ENSG00000198947,8.4908819,-6.506978467,1.394369951,-4.666608359,3.06E-06,1.93E-05,DMD
ENSG00000054793,8.374645949,-6.482098704,1.399553204,-4.631548616,3.63E-06,2.24E-05,ATP9A
ENSG00000122565,41.73304678,-6.407456801,1.010138932,-6.343144096,2.25E-10,2.54E-09,CBX3
ENSG00000070831,7.339550999,-6.297906107,1.429427972,-4.405892586,1.05E-05,6.06E-05,CDC42
ENSG00000134779,6.832894428,-6.199297669,1.503555908,-4.123090892,3.74E-05,0.000200522,TPGS2
ENSG00000013288,23.74238094,-6.138688865,1.098130283,-5.590128022,2.27E-08,2.03E-07,MAN2B2
ENSG00000166750,6.335012275,-6.077769035,1.471025414,-4.131654678,3.60E-05,0.000193532,SLFN5
ENSG00000099940,11.82595398,-5.982976859,1.355505922,-4.413833064,1.02E-05,5.86E-05,SNAP29
ENSG00000185551,5.782805262,-5.948536644,1.48757005,-3.998827916,6.37E-05,0.000328859,NR2F2
ENSG00000144791,5.410022598,-5.854464671,1.509609171,-3.878132686,0.000105261,0.000526136,LIMD1
ENSG00000148677,10.51235766,-5.829373905,1.360414854,-4.284997247,1.83E-05,0.000102488,ANKRD1
ENSG00000213923,81.11382778,-5.778793629,0.546728005,-10.56977798,4.11E-26,1.86E-24,CSNK1E
ENSG00000205302,10.0762087,-5.758399227,1.397946912,-4.119183053,3.80E-05,0.000203598,SNX2
ENSG00000090776,5.051173898,-5.757256854,1.551299865,-3.711246924,0.000206241,0.000970972,EFNB1
ENSG00000147883,4.555673869,-5.5970342,1.669256424,-3.353010429,0.000799377,0.003380881,CDKN2B
ENSG00000130844,4.36743054,-5.542117034,1.578682564,-3.510596216,0.000447103,0.00198935,ZNF331
ENSG00000179820,4.218256239,-5.498949097,1.590843984,-3.45662375,0.000546988,0.002395698,MYADM
ENSG00000008838,8.031331758,-5.451989982,1.415307101,-3.85216041,0.00011708,0.000579566,MED24
ENSG00000154319,3.922595938,-5.385102957,1.626217243,-3.311429011,0.000928208,0.003867323,FAM167A
ENSG00000115194,3.806359988,-5.334020386,1.741419581,-3.063029981,0.002191081,0.008464666,SLC30A3
ENSG00000074855,3.6381813,-5.290934776,1.68800988,-3.134421688,0.001721932,0.006797217,ANO8
ENSG00000132507,3.648366708,-5.286618936,1.644261572,-3.215193388,0.001303567,0.005288118,EIF5A
ENSG00000188811,3.648366708,-5.286618936,1.644261572,-3.215193388,0.001303567,0.005288118,NHLRC3
ENSG00000167244,3.608946944,-5.279224186,1.729909075,-3.051735066,0.002275228,0.008713218,IGF2
ENSG00000141582,3.508011386,-5.228445844,1.676162408,-3.119295493,0.001812841,0.007102883,CBX4
ENSG00000141867,3.455008395,-5.210088745,1.670309329,-3.119235854,0.001813208,0.007102883,BRD4
ENSG00000020129,11.73222606,-5.197786513,1.192581494,-4.358432978,1.31E-05,7.46E-05,NCDN
ENSG00000146592,12.15615317,-5.172384376,1.164630119,-4.44122498,8.94E-06,5.23E-05,CREB5
ENSG00000067082,3.280348292,-5.144035194,2.088952573,-2.462494965,0.013797411,0.043041772,KLF6
ENSG00000113761,3.163096648,-5.081321346,1.706223411,-2.978110202,0.002900317,0.01083747,ZNF346
ENSG00000151466,3.146780562,-5.066012896,1.767607338,-2.866028436,0.004156569,0.0148642,SCLT1
ENSG00000167601,3.080859301,-5.048043954,1.731502349,-2.915412709,0.003552185,0.012989521,AXL
ENSG00000011454,3.036675289,-5.01993373,1.729788726,-2.902050206,0.003707291,0.013429117,GPR21
ENSG00000160124,2.927936447,-4.974342895,1.760149846,-2.826090577,0.004711994,0.016524179,CCDC58
ENSG00000164916,2.885118865,-4.946172196,1.758750626,-2.812321498,0.004918531,0.017189737,FOXK1
ENSG00000054523,10.27319091,-4.921213068,1.197306728,-4.110235875,3.95E-05,0.000210552,KIF1B
ENSG00000134369,2.81681548,-4.916096613,1.762025302,-2.790026118,0.005270379,0.018274208,NAV1
ENSG00000204147,2.776380022,-4.898121039,1.787294449,-2.740522717,0.006134154,0.020939092,ASAH2B
ENSG00000132669,2.591840687,-4.78874341,1.832613914,-2.613067255,0.008973364,0.029676679,RIN2
ENSG00000152495,2.512336201,-4.750833778,1.859937678,-2.554297294,0.010640236,0.03426913,CAMK4
ENSG00000068400,4.933036365,-4.716368944,1.523014597,-3.096732593,0.001956663,0.007616391,GRIPAP1
ENSG00000182841,2.454218226,-4.709150317,1.863783419,-2.526661772,0.011515234,0.036855931,RRP7BP
ENSG00000169047,2.289743532,-4.62103291,1.911084133,-2.41801647,0.01560537,0.048048936,IRS1
ENSG00000170175,2.24692595,-4.585166148,1.885479307,-2.431830533,0.015022734,0.046394181,CHRNB1
ENSG00000131089,4.11279055,-4.457245302,1.556663907,-2.863331822,0.004192113,0.014956565,ARHGEF9
ENSG00000159692,8.803508032,-4.234543531,1.14953558,-3.683699405,0.000229873,0.001074021,CTBP1
ENSG00000261115,4.80725961,-3.905827892,1.462337684,-2.670947985,0.007563737,0.025396669,TMEM178B
ENSG00000272405,7.654330281,-3.5599902,1.062725031,-3.349869528,0.000808496,0.003410082,IFT88
ENSG00000141905,3.869598089,-3.508693505,1.424033397,-2.463912372,0.013742971,0.042915422,NFIC
ENSG00000166002,8.410912296,-3.339540883,0.975494531,-3.423433732,0.000618353,0.002659092,SMCO4
ENSG00000074416,7.722507589,-2.643784671,0.958733266,-2.757581035,0.005823078,0.020077555,MGLL
ENSG00000122641,149.6348375,-2.038212246,0.207910668,-9.803307677,1.09E-22,3.90E-21,INHBA
ENSG00000187678,28.87851256,-2.011238684,0.45355917,-4.434346864,9.24E-06,5.39E-05,SPRY4
ENSG00000257103,60.1573888,-1.950462671,0.346571143,-5.627885394,1.82E-08,1.66E-07,HSPA4
ENSG00000117877,10.21428288,-1.94874594,0.780060804,-2.498197486,0.012482663,0.039460082,CD3EAP
ENSG00000213639,30.98870357,-1.684472936,0.453123847,-3.717466974,0.00020123,0.000951748,PPP1CB
ENSG00000176788,24.14878691,-1.656349507,0.476085695,-3.479099507,0.000503102,0.002225647,BASP1
ENSG00000179295,131.7569829,-1.508975919,0.212571754,-7.098666159,1.26E-12,1.97E-11,PTPN11
ENSG00000183474,28.71195985,-1.368667932,0.477785683,-2.864606414,0.004175278,0.014913784,GTF2H2C
ENSG00000113300,34.56564126,-1.210056015,0.408885328,-2.959401892,0.003082368,0.011475952,CNOT6
ENSG00000075413,89.87063149,-1.048666653,0.306855349,-3.417462514,0.000632078,0.002714321,MARK3
ENSG00000105281,346.1328828,0.554844995,0.137140047,4.045827656,5.21E-05,0.000273018,SLC1A5
ENSG00000165476,48.18451345,0.81282284,0.331039147,2.455367737,0.014074053,0.043860334,REEP3
ENSG00000075624,709.307976,0.850356822,0.14783121,5.752214464,8.81E-09,8.27E-08,ACTB
ENSG00000100106,74.95377196,1.051096977,0.285381188,3.683133374,0.000230385,0.001074259,SELE
ENSG00000137710,123.8441631,1.429245466,0.232082461,6.158351897,7.35E-10,7.86E-09,RDX
ENSG00000102908,17.59319069,1.753773775,0.676800214,2.591272488,0.009562174,0.031321208,NFAT5
ENSG00000197183,13.43111235,1.863425794,0.732395285,2.544289721,0.010950022,0.035181919,BCLAF1
ENSG00000197081,177.7222598,1.912018525,0.187243856,10.21138189,1.76E-24,7.44E-23,IGF2R
ENSG00000127955,15.19486406,2.288678294,0.673460329,3.398386206,0.000677847,0.002894715,GNAI1
ENSG00000173068,12.09409534,2.360134629,0.731582941,3.226065696,0.001255045,0.005125046,BNC2
ENSG00000111331,200.4493251,2.481899312,0.194811736,12.73998865,3.54E-37,9.09E-35,OAS3
ENSG00000267368,13.01614989,2.724344464,0.709969486,3.837269793,0.00012441,0.000609964,UPK3BL1
ENSG00000128510,20.97462198,2.755702815,0.894910688,3.079304842,0.002074843,0.008035774,CPA4
ENSG00000137801,18.44337314,2.756295949,0.618900301,4.4535379,8.45E-06,4.95E-05,THBS1
ENSG00000157064,19.58420293,2.859633038,0.601648419,4.752996846,2.00E-06,1.30E-05,NMNAT2
ENSG00000085117,8.432145168,2.890568211,0.945193006,3.058177738,0.002226875,0.008570683,CD82
ENSG00000086062,15.78154359,2.953959037,0.764523704,3.863789992,0.000111641,0.000554425,B4GALT1
ENSG00000162869,9.664254854,2.966656261,0.864558005,3.431413789,0.000600444,0.002589309,PPP1R21
ENSG00000175984,7.182813423,2.983894792,1.039271665,2.871140332,0.004089939,0.01465998,DENND2C
ENSG00000123159,7.668506384,3.037643873,1.045152021,2.906413433,0.00365598,0.013274486,GIPC1
ENSG00000179627,9.168056825,3.053661025,0.956606942,3.192179451,0.001412036,0.005690652,ZBTB42
ENSG00000135046,12.11246758,3.140607772,0.924466263,3.39721188,0.000680762,0.00290314,ANXA1
ENSG00000177570,8.027317113,3.219994175,1.139017139,2.826993612,0.004698727,0.016496441,SAMD12
ENSG00000138395,10.25331287,3.250231163,0.875743365,3.711396847,0.000206119,0.000970972,CDK15
ENSG00000177409,5.95165562,3.547478311,1.200001905,2.956227232,0.003114276,0.011566773,SAMD9L
ENSG00000171992,40.50059357,3.63819669,0.466700741,7.79556656,6.41E-15,1.27E-13,SYNPO
ENSG00000167258,8.265539918,3.639066558,1.02903685,3.536381188,0.000405649,0.001812762,CDK12
ENSG00000156273,72.94627854,3.723740232,0.537170324,6.932140632,4.15E-12,5.88E-11,BACH1
ENSG00000064666,4.788698118,3.793470968,1.401269888,2.707166551,0.00678602,0.02291026,CNN2
ENSG00000119669,14.49430232,3.882531153,0.901413258,4.307160025,1.65E-05,9.29E-05,IRF2BPL
ENSG00000124766,9.159985962,4.138669113,1.08597905,3.811002718,0.000138404,0.000673217,SOX4
ENSG00000092841,3.439071794,4.217870549,1.703718845,2.475684624,0.013298099,0.041780455,MYL6
ENSG00000134247,3.403473547,4.256405143,1.638410094,2.597887524,0.009379921,0.030816695,PTGFRN
ENSG00000162889,6.143328905,4.260262774,1.559608944,2.73162243,0.006302332,0.02141819,MAPKAPK2
ENSG00000204176,6.352308808,4.316763521,1.384359603,3.118238578,0.001819355,0.007117907,SYT15
ENSG00000150394,3.847056926,4.404346387,1.607629493,2.739652642,0.006150415,0.020971348,CDH8
ENSG00000172728,10.4256577,4.411397883,1.111292609,3.969609667,7.20E-05,0.000368204,FUT10
ENSG00000156508,11.5901342,4.507137386,1.045600039,4.310574997,1.63E-05,9.17E-05,EEF1A1
ENSG00000103342,12.04184052,4.542581073,1.071271872,4.240362499,2.23E-05,0.000123359,GSPT1
ENSG00000171552,2.162081447,4.606131584,1.907788133,2.414383182,0.015761876,0.04838566,BCL2L1
ENSG00000226171,2.201396901,4.630216752,1.911697651,2.422044485,0.015433461,0.047567194,DHX16
