,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NUDT16L1,2.33499843106634,-2.93632039025793,0.543831508070759,-3.5605152726936,0.000370127781782227,0.0112338597559888
SCGB2A1,1.91449464031359,-2.92629967977498,0.529793100880711,-3.63594708306462,0.000276961187023695,0.00868042077333956
MPG,2.34302545037361,-2.91592817830247,0.517929451391038,-3.69920685753,0.000216274279106801,0.00696556746259358
FAM183A,12.5018139550133,-2.9139724011233,0.311118062413421,-6.15191669129121,7.65520892166982e-10,9.39863958510875e-08
AC011295.1,45.7830480613291,-2.91073479732042,0.35438586682254,-5.39167889073079,6.98024210922922e-08,5.93647778133354e-06
CCDC96,8.28411614312551,-2.90797412185835,0.32957519270795,-5.78919216031251,7.07257489909674e-09,6.95711298357534e-07
PRDX4,1.96545950309188,-2.90608234447498,0.569124735615576,-3.34914690083418,0.000810608047349876,0.0213146840663062
CD164L2,3.01829824631019,-2.90536831952203,0.478276092864166,-3.98382513353677,6.78147815519722e-05,0.0025933198312931
GDF15,8.90222346873171,-2.90451186042245,0.445739074319366,-4.27270564809827,1.9311531057025e-05,0.00089584656429023
RPLP0,220.38055236137,-2.90444393212965,0.23451159631919,-8.12089449741984,4.62760185182449e-16,1.57425230496754e-13
FAM187A,3.97878733442042,-2.89356606658314,0.441155279741459,-4.29228925400797,1.76840367982374e-05,0.000829777692179363
RIPK4,14.3986563570314,-2.88797801551801,0.303086207825099,-6.2291782561333,4.68888044523503e-10,5.88959452232637e-08
RPL32,112.379519122777,-2.88307595426531,0.242317180435129,-7.77112027667158,7.77949835003176e-15,2.11719047596114e-12
NDUFV1,8.25128591688492,-2.88145033973275,0.363220141842171,-5.17991741920053,2.21984149766051e-07,1.6254615163811e-05
RPS27,115.157012221199,-2.88118928233067,0.260636500334577,-7.21767396322391,5.28843211513739e-13,1.15139744010771e-10
CCNQ,2.5791311979151,-2.87923935993777,0.584341475267641,-3.21599516631442,0.00129993021615472,0.0316889483088201
RPL26,98.3859236919055,-2.87487179276523,0.234063576523671,-8.01009631917513,1.14618639415301e-15,3.53133540191028e-13
STUB1,6.70176516759456,-2.87473537388006,0.384531400051224,-4.8753765586642,1.08601090697357e-06,7.06512832668185e-05
RPL26L1,3.03678390839137,-2.87211758748534,0.535222749034213,-3.49782887753463,0.000469061991321789,0.0137018126230653
NDUFB6,3.68152713701478,-2.86955968456576,0.452222372774777,-4.13416008830875,3.56255091332256e-05,0.00150983745515904
GTPBP6,3.93241535657689,-2.86784497421943,0.439352596756957,-4.25135753835703,2.12478648628162e-05,0.000974596588047543
MACROD1,1.46190689890129,-2.86094410345054,0.601719796596013,-3.09270878900459,0.00198338658698027,0.0446713373500702
POLR2L,3.36919577776044,-2.85922837970688,0.471385552593896,-3.94417768952843,8.00742702127236e-05,0.00293168779888691
RPL3,217.252291531352,-2.8545453059155,0.219307460706044,-8.45637125132423,2.75826495312641e-17,1.25110301165559e-14
TFF3,13.7225665936696,-2.85312280429653,0.46744289202305,-3.96438332023058,7.35859280897968e-05,0.00274334388077236
ALDH3A1,114.139007020125,-2.84736813393359,0.261502286086358,-7.06444353348222,1.61260900299139e-12,3.30331778065312e-10
UQCRQ,12.4944342606824,-2.84527512437509,0.283371913499641,-6.51184904525631,7.42312995735409e-11,1.14351216107203e-08
CLDN4,31.2250025003073,-2.84527200497644,0.311789715520445,-5.91832223168837,3.25242282983067e-09,3.47116420838595e-07
AK1,6.0179934231924,-2.84096478253862,0.402505400011149,-4.57376418425102,4.7903898284936e-06,0.000255628351338144
AURKAIP1,4.51186056786778,-2.83737322907193,0.447836736453782,-4.10277469334309,4.082247394556e-05,0.00168330852792184
RPS17,94.8329540426178,-2.83650158315321,0.238225208191271,-7.70909844972696,1.26709641773491e-14,3.33716409761184e-12
YIPF2,2.40518533141042,-2.83285411897837,0.461602636942085,-3.97063182117031,7.16822814497735e-05,0.00268463296741594
C20orf85,45.6707512065941,-2.82927626575764,0.280841997944137,-6.51354241583735,7.33988664874472e-11,1.14145722940336e-08
DNPH1,4.08537316469253,-2.82727822917064,0.460136230513007,-3.97116790202199,7.15211490734843e-05,0.00268463296741594
RPL7,126.35900256413,-2.81881169240526,0.24291308087976,-7.48749999719266,7.01978658435654e-14,1.68567786964644e-11
NDUFB10,8.24642376728728,-2.81280861614667,0.303504351365502,-5.97292463185661,2.33037576921893e-09,2.5711287794308e-07
RPL9,47.0680739684666,-2.80467768991505,0.282635953395393,-6.3851667427123,1.7121081060773e-10,2.45236958457335e-08
TPM2,2.45941657887333,-2.80247372507981,0.483515086874316,-3.72785415390428,0.000193117075794919,0.00633214604549243
TSPO,6.20977947043864,-2.79489822038986,0.413827803719344,-4.33730697709995,1.44239107978892e-05,0.000692729527702157
COX5B,8.27828590942375,-2.79243975119547,0.311789359964488,-5.74888043453318,8.98363163086194e-09,8.57858016961079e-07
PCED1A,2.24184379377015,-2.78760766701323,0.5214851160565,-3.4279169471436,0.000608231505355846,0.0168265930042401
RPL18,56.5085848580194,-2.78318439375985,0.294197950241578,-6.06117205199969,1.35133184359085e-09,1.58295503525939e-07
DEGS2,8.25556098913759,-2.77920591367862,0.432235294401763,-4.11629021674672,3.85019447564825e-05,0.00160792392820614
SURF2,2.56787918524731,-2.77669792987168,0.445803152536151,-3.98538664377794,6.73703339669327e-05,0.00258237132240856
MT1E,2.64918251161669,-2.77204024022097,0.452967818463771,-3.91206652655988,9.15096937494927e-05,0.00329859114621516
KRT17,31.9496459968695,-2.77105621154432,0.339139589919852,-5.22220426097368,1.76805785426928e-07,1.34909423842818e-05
FBXL15,3.01020426841144,-2.7700866328297,0.562177036366601,-3.14862848947001,0.00164038591355664,0.0386669730283644
CATSPERD,3.22742296734743,-2.75768476169382,0.441599229013296,-3.98027135514065,6.88366461630801e-05,0.00260796657818314
CHCHD2,12.3449119712778,-2.75167900775443,0.325744597819891,-5.37746142062794,7.55433933584946e-08,6.32588753923517e-06
POLR2I,5.00645572429126,-2.7477977137287,0.421685581811446,-4.14478888801615,3.40126916696296e-05,0.00146156116387732
DYNLRB2,5.75621590417234,-2.74271277710363,0.413231804868119,-4.21727649366149,2.47270709421367e-05,0.00111538215860263
FAM50B,2.00145218648768,-2.7381563421747,0.546077667145951,-3.18298375258431,0.00145765793460904,0.0347983865705131
RUVBL2,22.9223126623487,-2.7365733466457,0.30575759802668,-5.67957544752224,1.3502947926927e-08,1.25278202669768e-06
RPL21,135.039522764916,-2.73367445922967,0.209954595675062,-8.25737799954048,1.48907276543264e-16,5.93050467969504e-14
TMEM205,3.55518991199393,-2.73069859018026,0.409875829435599,-4.22249487744481,2.41612891882184e-05,0.00109591580876227
SLC25A6,42.3160555349642,-2.72860616730117,0.289042395164287,-5.98045890921525,2.22509852746488e-09,2.47167577244721e-07
H1-4,12.9652660539239,-2.72829278505461,0.369437608223229,-4.67817229915127,2.89443288878641e-06,0.000165255925318158
C1orf122,5.05772446946128,-2.7199284123948,0.504690550509719,-3.40788709171935,0.000654679779379703,0.0177284678565359
CLDN7,14.5522078300998,-2.71970601296179,0.350655356351532,-4.90426278056845,9.37788765585889e-07,6.14986054347469e-05
TUBB4B,136.720968711532,-2.71746755532033,0.25554884812567,-6.72070161112893,1.80851608092516e-11,3.10855358793968e-09
