row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000082781,617.2171587,2.143659606,0.334385424,3.420183785,0.000625788,0.038433839
ENSG00000065534,527.832122,2.140531354,0.33785399,3.37581141,0.000735983,0.044065054
ENSG00000143228,55.5365359,2.125101435,0.189709752,5.930646271,3.02E-09,5.49E-07
ENSG00000205309,157.803726,2.120624555,0.303628418,3.690776253,0.000223571,0.016438025
ENSG00000249992,92.08597348,2.113600871,0.311869439,3.570727784,0.000355991,0.024059687
ENSG00000253234,36.44509386,2.112488589,0.309899417,3.589837628,0.000330884,0.022709941
ENSG00000213949,141.7937263,2.107843276,0.315567625,3.510636671,0.000447035,0.029070419
ENSG00000164362,8.797381325,2.102134375,0.328806895,3.351919904,0.000802532,0.047407607
ENSG00000133069,254.5571363,2.092981926,0.323466655,3.378963204,0.000727597,0.043647387
ENSG00000163737,1195.82723,2.091025074,0.305088835,3.576089805,0.000348772,0.023675186
ENSG00000136010,21.11871299,2.088785247,0.264833477,4.111207012,3.94E-05,0.003615244
ENSG00000029153,55.13790624,2.084974173,0.267553144,4.055172581,5.01E-05,0.004383538
ENSG00000158373,77.07397781,2.079064076,0.319955095,3.372548501,0.00074476,0.044504423
ENSG00000277075,35.97878177,2.078933822,0.308300484,3.499617676,0.000465926,0.030046396
ENSG00000258572,12.08739106,2.077876368,0.292593696,3.683867364,0.000229722,0.016829267
ENSG00000100479,35.4825587,2.061414625,0.240593123,4.411658199,1.03E-05,0.001065544
ENSG00000137812,86.0719474,2.049989551,0.201693391,5.20586988,1.93E-07,2.67E-05
ENSG00000169715,60.61416669,2.045910781,0.257137625,4.067513579,4.75E-05,0.004178565
ENSG00000180596,134.7094147,2.041166277,0.212607957,4.897118101,9.73E-07,0.000119934
ENSG00000121152,115.7032744,2.035176666,0.169392212,6.111123127,9.89E-10,1.89E-07
ENSG00000183160,45.84566312,2.02756097,0.300719176,3.417011794,0.000633125,0.038730756
ENSG00000273802,51.64553608,2.019559018,0.257283565,3.962783314,7.41E-05,0.00623126
ENSG00000180573,2348.597743,1.9733856,0.279175207,3.486647723,0.000489115,0.031345903
ENSG00000151725,104.673062,1.948656785,0.225726941,4.202674173,2.64E-05,0.002504617
ENSG00000249096,21.00820506,1.908102907,0.264908717,3.427984245,0.000608081,0.037720504
ENSG00000143776,54.47642175,1.883711282,0.257285755,3.434746247,0.000593109,0.037014302
ENSG00000153162,189.9455165,1.869002726,0.259454304,3.349347894,0.00081002,0.04775879
ENSG00000134690,116.1810082,1.86880177,0.175994038,4.936540912,7.95E-07,0.000100468
ENSG00000029993,125.7072305,1.863117245,0.204685442,4.216798396,2.48E-05,0.002360079
ENSG00000146410,26.89181043,1.848133287,0.219906553,3.856789509,0.000114886,0.009236835
ENSG00000183087,426.8343022,1.846472966,0.22758187,3.719421797,0.000199679,0.014907073
ENSG00000205038,65.36667258,1.845460538,0.25362161,3.33355086,0.00085745,0.049890048
ENSG00000187837,420.1853467,1.839648846,0.145741589,5.76121648,8.35E-09,1.43E-06
ENSG00000007968,324.3662464,1.806463518,0.163183072,4.942078285,7.73E-07,9.81E-05
ENSG00000124721,15.36287698,1.794451559,0.229005928,3.469130971,0.000522145,0.033308546
ENSG00000123473,87.51674812,1.793153573,0.188946036,4.197778315,2.70E-05,0.00255154
ENSG00000137807,95.31743286,1.789886592,0.212935145,3.709517237,0.000207655,0.015377386
ENSG00000189057,77.95596226,1.787400612,0.216767556,3.632465238,0.000280726,0.020068372
ENSG00000135916,1948.480377,1.771274568,0.181194952,4.256600755,2.08E-05,0.002033154
ENSG00000073111,477.3415334,1.767549111,0.161827864,4.742997237,2.11E-06,0.000247843
ENSG00000129810,32.41858827,1.76642824,0.218542518,3.506998306,0.000453192,0.029347503
ENSG00000228716,56.22272028,1.755466084,0.184949986,4.084704745,4.41E-05,0.003978091
ENSG00000138778,82.65244038,1.733301455,0.189627164,3.867069679,0.000110151,0.008942295
